Sample Id	Group	SNAP23, Protein levels
7316-344	(B) Pediatric Low Grade Gliomas	0.0041
7316-345	(B) Pediatric Low Grade Gliomas	0.7
7316-350	(B) Pediatric Low Grade Gliomas	0.4711
7316-3555	(B) Pediatric Low Grade Gliomas	0.2877
7316-3556	(B) Pediatric Low Grade Gliomas	-0.3165
7316-3561	(B) Pediatric Low Grade Gliomas	-0.2576
7316-3570	(B) Pediatric Low Grade Gliomas	-0.2491
7316-3575	(B) Pediatric Low Grade Gliomas	0.0424
7316-362	(B) Pediatric Low Grade Gliomas	0.6077
7316-368	(B) Pediatric Low Grade Gliomas	0.4415
7316-370	(B) Pediatric Low Grade Gliomas	-0.0318
7316-391	(B) Pediatric Low Grade Gliomas	0.5718
7316-393	(B) Pediatric Low Grade Gliomas	0.2739
7316-397	(B) Pediatric Low Grade Gliomas	-0.1125
7316-400	(B) Pediatric Low Grade Gliomas	0.6527
7316-442	(B) Pediatric Low Grade Gliomas	-0.3446
7316-449	(B) Pediatric Low Grade Gliomas	0.2316
7316-459	(B) Pediatric Low Grade Gliomas	0.1593
7316-470	(B) Pediatric Low Grade Gliomas	-0.1768
7316-472	(B) Pediatric Low Grade Gliomas	0.6556
7316-475	(B) Pediatric Low Grade Gliomas	0.1884
7316-485	(B) Pediatric Low Grade Gliomas	0.525
7316-487	(B) Pediatric Low Grade Gliomas	0.3099
7316-488	(B) Pediatric Low Grade Gliomas	0.4406
7316-495	(B) Pediatric Low Grade Gliomas	0.776
7316-499	(B) Pediatric Low Grade Gliomas	0.0853
7316-77	(B) Pediatric Low Grade Gliomas	0.4361
7316-84	(B) Pediatric Low Grade Gliomas	-0.2631
7316-869	(B) Pediatric Low Grade Gliomas	0.5201
7316-875	(B) Pediatric Low Grade Gliomas	-0.4035
7316-880	(B) Pediatric Low Grade Gliomas	-0.3001
7316-882	(B) Pediatric Low Grade Gliomas	-0.2767
7316-884	(B) Pediatric Low Grade Gliomas	0.0996
7316-891	(B) Pediatric Low Grade Gliomas	0.6659
7316-925	(B) Pediatric Low Grade Gliomas	-0.1942
7316-932	(B) Pediatric Low Grade Gliomas	-0.2912
7316-934	(B) Pediatric Low Grade Gliomas	0.057
7316-936	(B) Pediatric Low Grade Gliomas	0.0677
7316-938	(B) Pediatric Low Grade Gliomas	0.254
7316-944	(B) Pediatric Low Grade Gliomas	0.0459
7316-946	(B) Pediatric Low Grade Gliomas	0.2897
7316-954	(B) Pediatric Low Grade Gliomas	0.3534
7316-957	(B) Pediatric Low Grade Gliomas	0.3968
