Sample Id	Group	PELP1, Protein levels
7316-193	(B) Pediatric Low Grade Gliomas	-0.3165
7316-196	(B) Pediatric Low Grade Gliomas	-0.9653
7316-20	(B) Pediatric Low Grade Gliomas	-0.5523
7316-206	(B) Pediatric Low Grade Gliomas	-0.8373
7316-207	(B) Pediatric Low Grade Gliomas	-0.3466
7316-2154	(B) Pediatric Low Grade Gliomas	-0.5007
7316-2167	(B) Pediatric Low Grade Gliomas	-0.8896
7316-217	(B) Pediatric Low Grade Gliomas	-0.8082
7316-2172	(B) Pediatric Low Grade Gliomas	-0.1323
7316-2174	(B) Pediatric Low Grade Gliomas	-0.8257
7316-2184	(B) Pediatric Low Grade Gliomas	-0.4677
7316-2193	(B) Pediatric Low Grade Gliomas	-0.7474
7316-2195	(B) Pediatric Low Grade Gliomas	-0.7073
7316-222	(B) Pediatric Low Grade Gliomas	-0.1287
7316-2581	(B) Pediatric Low Grade Gliomas	-0.8931
7316-2663	(B) Pediatric Low Grade Gliomas	-0.4363
7316-2664	(B) Pediatric Low Grade Gliomas	-0.601
7316-2667	(B) Pediatric Low Grade Gliomas	-0.3067
7316-2669	(B) Pediatric Low Grade Gliomas	-0.5443
7316-267	(B) Pediatric Low Grade Gliomas	-0.5593
7316-2723	(B) Pediatric Low Grade Gliomas	-1.0334
7316-2729	(B) Pediatric Low Grade Gliomas	-0.2214
7316-2755	(B) Pediatric Low Grade Gliomas	-0.4605
7316-2899	(B) Pediatric Low Grade Gliomas	-0.056
7316-2900	(B) Pediatric Low Grade Gliomas	-0.6106
7316-3055	(B) Pediatric Low Grade Gliomas	-0.6107
7316-3062	(B) Pediatric Low Grade Gliomas	-0.2875
7316-3068	(B) Pediatric Low Grade Gliomas	-0.9836
7316-32	(B) Pediatric Low Grade Gliomas	-0.8508
7316-329	(B) Pediatric Low Grade Gliomas	-0.35
7316-332	(B) Pediatric Low Grade Gliomas	-0.3063
7316-344	(B) Pediatric Low Grade Gliomas	-0.5766
7316-345	(B) Pediatric Low Grade Gliomas	-0.1657
7316-350	(B) Pediatric Low Grade Gliomas	-0.1114
7316-3555	(B) Pediatric Low Grade Gliomas	-0.1721
7316-3556	(B) Pediatric Low Grade Gliomas	-0.9491
7316-3561	(B) Pediatric Low Grade Gliomas	-0.9012
7316-3570	(B) Pediatric Low Grade Gliomas	-0.8755
7316-3575	(B) Pediatric Low Grade Gliomas	-0.9433
7316-362	(B) Pediatric Low Grade Gliomas	-0.754
7316-368	(B) Pediatric Low Grade Gliomas	-0.4398
7316-370	(B) Pediatric Low Grade Gliomas	-0.9966
7316-391	(B) Pediatric Low Grade Gliomas	-0.339
7316-393	(B) Pediatric Low Grade Gliomas	-0.3587
7316-397	(B) Pediatric Low Grade Gliomas	-0.9426
7316-400	(B) Pediatric Low Grade Gliomas	-0.1003
7316-442	(B) Pediatric Low Grade Gliomas	-0.9658
7316-449	(B) Pediatric Low Grade Gliomas	-0.8988
7316-459	(B) Pediatric Low Grade Gliomas	-0.9263
7316-470	(B) Pediatric Low Grade Gliomas	-0.9504
7316-472	(B) Pediatric Low Grade Gliomas	-0.4586
7316-475	(B) Pediatric Low Grade Gliomas	-0.4183
7316-485	(B) Pediatric Low Grade Gliomas	-0.7593
7316-487	(B) Pediatric Low Grade Gliomas	0.0771
7316-488	(B) Pediatric Low Grade Gliomas	-0.479
7316-495	(B) Pediatric Low Grade Gliomas	-0.7407
7316-499	(B) Pediatric Low Grade Gliomas	-0.1432
7316-77	(B) Pediatric Low Grade Gliomas	-0.2207
7316-84	(B) Pediatric Low Grade Gliomas	-0.9823
7316-869	(B) Pediatric Low Grade Gliomas	-0.6809
7316-875	(B) Pediatric Low Grade Gliomas	-0.9332
7316-880	(B) Pediatric Low Grade Gliomas	-0.6963
7316-882	(B) Pediatric Low Grade Gliomas	-0.9273
7316-884	(B) Pediatric Low Grade Gliomas	-0.1432
7316-891	(B) Pediatric Low Grade Gliomas	-0.7162
7316-925	(B) Pediatric Low Grade Gliomas	-0.9318
7316-932	(B) Pediatric Low Grade Gliomas	-0.3582
7316-934	(B) Pediatric Low Grade Gliomas	-0.122
7316-936	(B) Pediatric Low Grade Gliomas	-0.7702
7316-938	(B) Pediatric Low Grade Gliomas	-0.3959
7316-944	(B) Pediatric Low Grade Gliomas	-0.2942
7316-946	(B) Pediatric Low Grade Gliomas	-0.5554
7316-954	(B) Pediatric Low Grade Gliomas	-0.2768
7316-957	(B) Pediatric Low Grade Gliomas	-0.4215
